ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facility_squash_court,facility_swimming_pool,facility_multipurpose_hall,facility_club_house,facility_10,facility_11,facility_tennis_court,facility_gymnasium,facility_parking,facility_minimart,facility_security,facility_lift,facility_jogging_track,facility_playground,facility_barbeque_area,facility_sauna,additional_,additional_cooking_allowed,additional_internet,additional_air-cond,additional_washing_machine,additional_near_ktm/lrt,price_per_sqft,property_age,size_category
100290514,Majestic Maxim,2021.0,1100.0,Cheras,Service Residence,2.0,1.0,2.0,650.0,Not Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1.6923076923076923,3.0,Medium
100267049,Sri Penara,2017.0,1000.0,Cheras,Apartment,3.0,1.0,2.0,650.0,Not Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.5384615384615385,7.0,Medium
100201993,Prisma Cheras,2017.0,1100.0,Cheras,Condominium,1.0,1.0,1.0,900.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1.2222222222222223,7.0,Medium
100295196,Menara Alpha,2017.0,1400.0,Wangsa Maju,Condominium,3.0,1.0,2.0,1140.0,Not Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.2280701754385965,7.0,Large
100322088,Berlian Residence @ Setapak,2017.0,1500.0,Setapak,Condominium,3.0,1.0,2.0,900.0,Not Furnished,Kuala Lumpur,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,7.0,Medium
100322078,Pangsapuri Melur (Sentul),2006.0,1750.0,Sentul,Apartment,3.0,1.0,2.0,1065.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6431924882629108,18.0,Large
100202252,Residensi Vista Wirajaya,2017.0,1800.0,Setapak,Apartment,3.0,1.0,2.0,885.0,Fully Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0338983050847457,7.0,Medium
100136931,Bayu Sentul Condominium,2015.0,1900.0,Sentul,Condominium,3.0,2.0,2.0,1300.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4615384615384615,9.0,Large
100234716,Flexus Signature Suites,2017.0,1500.0,Jalan Kuching,Studio,1.0,1.0,1.0,530.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,2.830188679245283,7.0,Medium
100322047,Menjalara 18,2017.0,2400.0,Bandar Menjalara,Condominium,3.0,1.0,2.0,1316.0,Fully Furnished,Kuala Lumpur,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1.8237082066869301,7.0,Large
99876261,Greenpark,1999.0,1400.0,Old Klang Road,Condominium,3.0,1.0,2.0,1270.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1.1023622047244095,25.0,Large
100322029,Majestic Maxim,2021.0,1800.0,Cheras,Service Residence,3.0,1.0,2.0,819.0,Partially Furnished,Kuala Lumpur,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2.197802197802198,3.0,Medium
100322005,Baiduri Apartment (Desa Pandan),2017.0,1500.0,Desa Pandan,Apartment,3.0,1.0,2.0,950.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5789473684210527,7.0,Medium
98292007,Bennington Residences @ SkyArena,2019.0,3000.0,Setapak,Condominium,3.0,2.0,2.0,1200.0,Fully Furnished,Kuala Lumpur,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,2.5,5.0,Large
